time,cmod_mm,load_N
1.650000065565e-01,2.738754008897e-02,3.862661499023e+03
1.700000017881e-01,2.892298263032e-02,3.853470092773e+03
1.749999970198e-01,3.050432412419e-02,3.836382934570e+03
1.800000071526e-01,3.212573984638e-02,3.812337890625e+03
1.850000023842e-01,3.378595586400e-02,3.781801635742e+03
1.899999976158e-01,3.547264938243e-02,3.746971435547e+03
1.949999928474e-01,3.718119312543e-02,3.708831787109e+03
2.000000029802e-01,3.890596120618e-02,3.668336303711e+03
2.049999982119e-01,4.064633976668e-02,3.625576660156e+03
2.099999934435e-01,4.240761767142e-02,3.579689086914e+03
2.150000035763e-01,4.419790382963e-02,3.529115966797e+03
2.199999988079e-01,4.601879161783e-02,3.473841430664e+03
2.249999940395e-01,4.785875312518e-02,3.415900146484e+03
2.300000041723e-01,4.970917862374e-02,3.356786865234e+03
2.349999994040e-01,5.156517040450e-02,3.297415283203e+03
2.399999946356e-01,5.342737701721e-02,3.237737182617e+03
2.450000047684e-01,5.529549345374e-02,3.177583557129e+03
2.500000000000e-01,5.717453220859e-02,3.116338562012e+03
2.549999952316e-01,5.905764969066e-02,3.055033203125e+03
2.599999904633e-01,6.094499619212e-02,2.993723754883e+03
2.649999856949e-01,6.283691630233e-02,2.932203491211e+03
2.700000107288e-01,6.474152742885e-02,2.869238098145e+03
2.750000059605e-01,6.666227465030e-02,2.804327697754e+03
2.800000011921e-01,6.859577586874e-02,2.738052917480e+03
2.849999964237e-01,7.053939730395e-02,2.670964782715e+03
2.899999916553e-01,7.247817784082e-02,2.605288024902e+03
2.949999868870e-01,7.441838481463e-02,2.540310241699e+03
3.000000119209e-01,7.635189872235e-02,2.477095703125e+03
3.050000071526e-01,7.828155817697e-02,2.415251220703e+03
3.100000023842e-01,8.020628918894e-02,2.354887268066e+03
3.149999976158e-01,8.211955102161e-02,2.296859313965e+03
3.199999928474e-01,8.402959705563e-02,2.240039733887e+03
3.249999880791e-01,8.593502757140e-02,2.184596496582e+03
3.300000131130e-01,8.783554536058e-02,2.130469116211e+03
3.350000083447e-01,8.973260875791e-02,2.077486755371e+03
3.400000035763e-01,9.162752487464e-02,2.025525573730e+03
3.449999988079e-01,9.351361397421e-02,1.975341186523e+03
3.499999940395e-01,9.539189195493e-02,1.926832946777e+03
3.549999892712e-01,9.726332518039e-02,1.879902160645e+03
3.600000143051e-01,9.912804560736e-02,1.834465393066e+03
3.650000095367e-01,1.009846675443e-01,1.790705688477e+03
3.700000047684e-01,1.028329837718e-01,1.748522644043e+03
3.750000000000e-01,1.046770146349e-01,1.707427734375e+03
3.799999952316e-01,1.065133697703e-01,1.667765228271e+03
3.849999904633e-01,1.083477347274e-01,1.628895385742e+03
3.899999856949e-01,1.101776618743e-01,1.591048065186e+03
3.950000107288e-01,1.120014850749e-01,1.554355468750e+03
4.000000059605e-01,1.138228670461e-01,1.518434020996e+03
4.050000011921e-01,1.156388349482e-01,1.483501617432e+03
4.099999964237e-01,1.174517167965e-01,1.449385803223e+03
4.149999916553e-01,1.192629350116e-01,1.415898010254e+03
4.199999868870e-01,1.210673516616e-01,1.383630889893e+03
4.250000119209e-01,1.228674596641e-01,1.352240051270e+03
4.300000071526e-01,1.246599544538e-01,1.321953643799e+03
4.350000023842e-01,1.264498664532e-01,1.292431701660e+03
4.399999976158e-01,1.282354339492e-01,1.263865570068e+03
4.449999928474e-01,1.300199097896e-01,1.235782684326e+03
4.499999880791e-01,1.318018597376e-01,1.208347534180e+03
4.550000131130e-01,1.335778611246e-01,1.181909332275e+03
4.600000083447e-01,1.353497068339e-01,1.156269012451e+03
4.650000035763e-01,1.371157722606e-01,1.131432830811e+03
4.699999988079e-01,1.388764579315e-01,1.107450836182e+03
4.749999940395e-01,1.406357398082e-01,1.083950286865e+03
4.799999892712e-01,1.423900478403e-01,1.061259185791e+03
4.850000143051e-01,1.441411032865e-01,1.039209625244e+03
4.900000095367e-01,1.458911043010e-01,1.017584014893e+03
4.950000047684e-01,1.476398252998e-01,9.963848876953e+02
5.000000000000e-01,1.493839823816e-01,9.758713989258e+02
5.049999952316e-01,1.511231277545e-01,9.560858917236e+02
5.099999904633e-01,1.528576249839e-01,9.368915710449e+02
5.149999856949e-01,1.545908684784e-01,9.180712738037e+02
5.199999809265e-01,1.563193593756e-01,8.998927917480e+02
5.249999761581e-01,1.580473614449e-01,8.820873260498e+02
5.299999713898e-01,1.597736103286e-01,8.647224426270e+02
5.350000262260e-01,1.614972463867e-01,8.478639373779e+02
5.400000214577e-01,1.632168915530e-01,8.315710144043e+02
5.450000166893e-01,1.649343538156e-01,8.156819458008e+02
5.500000119209e-01,1.666482111323e-01,7.999952087402e+02
5.550000071526e-01,1.683578176890e-01,7.846699981689e+02
5.600000023842e-01,1.700647421530e-01,7.697971496582e+02
5.649999976158e-01,1.717682632152e-01,7.553964080811e+02
5.699999928474e-01,1.734688252909e-01,7.414071502686e+02
5.749999880791e-01,1.751664949988e-01,7.278451004028e+02
5.799999833107e-01,1.768619985960e-01,7.146817626953e+02
5.849999785423e-01,1.785566910694e-01,7.017661666870e+02
5.899999737740e-01,1.802473459684e-01,6.891256561279e+02
5.950000286102e-01,1.819343683892e-01,6.768514938354e+02
6.000000238419e-01,1.836189569731e-01,6.648630905151e+02
6.050000190735e-01,1.853032410436e-01,6.531570816040e+02
6.100000143051e-01,1.869887958892e-01,6.416505355835e+02
6.150000095367e-01,1.886674264242e-01,6.304495086670e+02
6.200000047684e-01,1.903441950126e-01,6.195601768494e+02
6.250000000000e-01,1.920187269425e-01,6.089863815308e+02
6.299999952316e-01,1.936910112272e-01,5.987182426453e+02
6.349999904633e-01,1.953636817780e-01,5.885794792175e+02
6.399999856949e-01,1.970372729265e-01,5.785258255005e+02
6.449999809265e-01,1.987099693797e-01,5.686581192017e+02
6.499999761581e-01,2.003802973049e-01,5.590617065430e+02
6.549999713898e-01,2.020483339293e-01,5.497296466827e+02
6.600000262260e-01,2.037140971661e-01,5.406543235779e+02
6.650000214577e-01,2.053776795510e-01,5.318276996613e+02
6.700000166893e-01,2.070395778865e-01,5.232360782623e+02
6.750000119209e-01,2.086996749276e-01,5.148746986389e+02
6.800000071526e-01,2.103577788075e-01,5.067390775681e+02
6.850000023842e-01,2.120139520412e-01,4.988217878342e+02
6.899999976158e-01,2.136687408347e-01,4.910986008644e+02
6.949999928474e-01,2.153223690257e-01,4.835689358711e+02
6.999999880791e-01,2.169735566567e-01,4.761855005026e+02
7.049999833107e-01,2.186212873348e-01,4.688427230120e+02
7.099999785423e-01,2.202685302909e-01,4.616532981396e+02
7.149999737740e-01,2.219154773484e-01,4.546202974319e+02
7.200000286102e-01,2.235627290065e-01,4.477321357727e+02
7.250000238419e-01,2.252091606060e-01,4.410065822601e+02
7.300000190735e-01,2.268548923603e-01,4.344363012314e+02
7.350000143051e-01,2.284997316747e-01,4.280186233521e+02
7.400000095367e-01,2.301436049311e-01,4.217515945435e+02
7.450000047684e-01,2.317873361317e-01,4.156218013763e+02
7.500000000000e-01,2.334300291550e-01,4.096366405487e+02
7.549999952316e-01,2.350716256478e-01,4.037931003571e+02
7.599999904633e-01,2.367107073660e-01,3.980928211212e+02
7.649999856949e-01,2.383489692875e-01,3.925132598877e+02
7.699999809265e-01,2.399901019817e-01,3.870009975433e+02
7.749999761581e-01,2.416302937345e-01,3.816140575409e+02
7.799999713898e-01,2.432695307944e-01,3.763494186401e+02
7.850000262260e-01,2.449077994097e-01,3.712038955688e+02
7.900000214577e-01,2.465448328439e-01,3.661748580933e+02
7.950000166893e-01,2.481794842897e-01,3.612652435303e+02
8.000000119209e-01,2.498154598288e-01,3.564372558594e+02
8.050000071526e-01,2.514516831579e-01,3.517013740540e+02
8.100000023842e-01,2.530870482151e-01,3.470687217712e+02
8.149999976158e-01,2.547222328285e-01,3.425237464905e+02
8.199999928474e-01,2.563615738472e-01,3.378972320557e+02
8.249999880791e-01,2.580012188992e-01,3.333241271973e+02
8.299999833107e-01,2.596453888837e-01,3.287428894043e+02
8.349999785423e-01,2.612878524524e-01,3.242623176575e+02
8.399999737740e-01,2.629283404458e-01,3.198842506409e+02
8.450000286102e-01,2.645673920342e-01,3.156018333435e+02
8.500000238419e-01,2.662050975632e-01,3.114123725891e+02
8.550000190735e-01,2.678414281909e-01,3.073132629395e+02
8.600000143051e-01,2.694764743137e-01,3.033018112183e+02
8.650000095367e-01,2.711102368994e-01,2.993754272461e+02
8.700000047684e-01,2.727427169375e-01,2.955315093994e+02
8.750000000000e-01,2.743739749931e-01,2.917674713135e+02
8.799999952316e-01,2.760040120338e-01,2.880808105469e+02
8.849999904633e-01,2.776328886248e-01,2.844689636230e+02
8.899999856949e-01,2.792606056755e-01,2.809295196533e+02
8.949999809265e-01,2.808871640882e-01,2.774601211548e+02
8.999999761581e-01,2.825126541866e-01,2.740584106445e+02
9.049999713898e-01,2.841370171736e-01,2.707222518921e+02
9.100000262260e-01,2.857602837030e-01,2.674494094849e+02
9.150000214577e-01,2.873825440183e-01,2.642377700806e+02
9.200000166893e-01,2.890037393372e-01,2.610852050781e+02
9.250000119209e-01,2.906239896474e-01,2.579897994995e+02
9.300000071526e-01,2.922432956984e-01,2.549497222900e+02
9.350000023842e-01,2.938617177715e-01,2.519632873535e+02
9.399999976158e-01,2.954792863020e-01,2.490288162231e+02
9.449999928474e-01,2.970960912862e-01,2.461448669434e+02
9.499999880791e-01,2.987122226696e-01,2.433100051880e+02
9.549999833107e-01,3.003277107127e-01,2.405229949951e+02
9.599999785423e-01,3.019426452156e-01,2.377827301025e+02
9.649999737740e-01,3.035570861466e-01,2.350883407593e+02
9.700000286102e-01,3.051710338259e-01,2.324389190674e+02
9.750000238419e-01,3.067845481492e-01,2.298336334229e+02
9.800000190735e-01,3.083976591952e-01,2.272717437744e+02
9.850000143051e-01,3.100103970210e-01,2.247525482178e+02
9.900000095367e-01,3.116227618812e-01,2.222753067017e+02
9.950000047684e-01,3.132347838109e-01,2.198393707275e+02
1.000000000000e+00,3.148464928745e-01,2.174440536499e+02
