delta_s_mm,delta_mm,Ps_N,P_N
0.0576,0.096,8118.67828718837,1670.20227387476
0.0582,0.097,8188.65280271774,1631.13082964607
0.0588,0.098,8258.85243142287,1593.1473480203
0.0594,0.0990000000000001,8329.38441301204,1556.24966132921
0.06,0.1,8399.75543649479,1520.04421533522
0.0606,0.101,8470.29467671074,1484.72250164306
0.0612,0.102,8541.1529057991,1450.32882098818
0.0618,0.103,8611.29622719058,1416.23937696902
0.0624,0.104,8679.81739193516,1381.91011051009
0.063,0.105,8747.96420519726,1347.99146340103
0.0636,0.106,8815.75813527129,1314.5923926253
0.0642,0.107,8883.22402207279,1281.72000821489
0.0648,0.108,8950.40354360484,1249.29419642245
0.0654,0.109,9017.49768540266,1217.46669744171
0.066,0.11,9084.48891477977,1186.25142013958
0.0666,0.111,9151.12042449794,1155.37782488346
0.0672,0.112,9217.70431325101,1124.90840062491
0.0678,0.113,9284.60053382207,1095.15079658357
0.0684,0.114,9351.2806649087,1065.77909579655
0.069,0.115,9416.72623290693,1036.13443254559
0.0696,0.116,9482.13127461946,1007.03490502362
0.0702,0.117,9546.54673120305,977.834874413844
0.0708,0.118,9610.29179658636,948.776047969236
0.0714,0.119,9674.29971636208,920.521300568492
0.072,0.12,9738.43297521699,892.875882712288
0.0726,0.121,9802.64382315486,865.701422147123
0.0732,0.122,9866.99834817402,839.080970269886
0.0738,0.123,9931.69449011163,813.082810043996
0.0744,0.124,9996.3662786677,787.362630340596
0.075,0.125,10060.7879591867,761.713061941231
0.0756,0.126,10124.8003787735,735.987550949184
0.0762,0.127,10188.7082065355,710.318094443557
0.0768,0.128,10252.4741776248,684.909021028772
0.0774,0.129,10316.2816218461,659.906852001944
0.078,0.13,10380.6051873686,635.60690033831
0.0786,0.131,10444.9861244175,611.643929109025
0.0792,0.132,10509.3179716551,587.979248880043
0.0798,0.133,10573.9321552572,564.779903264501
0.0804,0.134,10636.6686693627,540.537804735916
0.081,0.135,10697.4846728685,515.196976380077
0.0816,0.136,10758.6825974208,490.337599340112
0.0822,0.137,10820.78606794,466.388984975149
0.0828,0.138,10883.121837372,442.830052085287
0.0834,0.139,10945.8369104256,419.741150513165
0.084,0.14,11008.3950384506,396.720362731453
0.0846,0.141,11071.2252454092,374.034260199719
0.0852,0.142,11133.4366178857,350.902766717532
0.0858,0.143,11195.7496156061,328.002016084599
0.0864,0.144,11258.4446744242,305.595871089231
0.087,0.145,11321.513509706,283.663006136726
0.0876,0.146,11384.488949728,261.857875865668
0.0882,0.147,11447.4412288094,240.19800857661
0.0888,0.148,11509.7549494034,218.203220649641
0.0894,0.149,11572.6142101418,196.67880728723
0.09,0.15,11635.0151324205,174.657779855685
0.0906,0.151,11697.7130277229,152.876084477464
0.0912,0.152,11760.0942473564,130.809802911193
0.0918,0.153,11822.5719299832,108.58744440601
0.0924,0.154,11885.8758866687,87.0420523049016
0.093,0.155,11949.4524315501,65.7456076774165
0.0936,0.156,12013.4586480035,44.9061603055058
0.0942,0.157,12077.9708367534,24.6299718649671
0.0948,0.158,12142.6686049249,4.63755526529793
0.0954,0.159,12207.3120969851,-15.2715258577165
0.096,0.16,12272.2314664774,-34.8036986477029
0.0966,0.161,12337.2158791008,-54.2810724939233
0.0972,0.162,12402.1449406064,-73.7924708060139
0.0978,0.163,12467.541077861,-92.7747935329089
0.0984,0.164,12532.9004282709,-111.701864040265
0.099,0.165,12598.4627725703,-130.424472787899
0.0996,0.166,12664.2814575143,-148.868023755052
0.1002,0.167,12730.2782180535,-167.1343540519
0.1008,0.168,12796.4885480946,-185.212107388744
0.1014,0.169,12863.0084251682,-202.923749673009
0.102,0.17,12929.5035863688,-220.719521510341
0.1026,0.171,12995.8807778895,-238.722411455968
0.1032,0.172,13062.1763444529,-256.867351399913
0.1038,0.173,13128.4606330515,-275.113302553196
0.1044,0.174,13195.0413947946,-293.020835956491
0.105,0.175,13261.934027051,-310.612716273651
0.1056,0.176,13329.0133208326,-328.113968627026
0.1062,0.177,13396.2932209798,-345.430042562979
0.1068,0.178,13463.7955135434,-362.480123121641
0.1074,0.179,13531.5299485205,-379.211168265656
0.108,0.18,13599.3641835571,-395.841119205296
0.1086,0.181,13667.4277858616,-412.271020895281
0.1092,0.182,13735.7173581686,-428.535137080065
