time,load_N,cmod_mm
9.899999946355819702e-03,3.877202911376953125e+02,9.084622433874756098e-04
9.999999776482582092e-03,3.916366577148437500e+02,9.176385356113314629e-04
1.009999960660934448e-02,3.955530242919921875e+02,9.268149442505091429e-04
1.020000036805868149e-02,3.994693908691406250e+02,9.359913819935172796e-04
1.030000019818544388e-02,4.033857574462890625e+02,9.451677906326949596e-04
1.040000002831220627e-02,4.073021240234375000e+02,9.543440828565508127e-04
1.049999985843896866e-02,4.112184906005859375e+02,9.635205205995589495e-04
1.059999968856573105e-02,4.151348571777343750e+02,9.726969292387366295e-04
1.070000045001506805e-02,4.190512313842773438e+02,9.818732214625924826e-04
1.080000028014183044e-02,4.229675827026367188e+02,9.910496592056006193e-04
1.090000011026859283e-02,4.268839492797851562e+02,1.000226067844778299e-03
1.099999994039535522e-02,4.308003311157226562e+02,1.009402476483955979e-03
1.109999977052211761e-02,4.347166824340820312e+02,1.018578797811642289e-03
1.119999960064888000e-02,4.386330490112304688e+02,1.027755206450819969e-03
1.130000036209821701e-02,4.425494308471679688e+02,1.036931644193828106e-03
1.140000019222497940e-02,4.464657974243164062e+02,1.046107936417683959e-03
1.150000002235174179e-02,4.503821487426757812e+02,1.055284345056861639e-03
1.159999985247850418e-02,4.542985305786132812e+02,1.064460782799869776e-03
1.169999968260526657e-02,4.582148895263671875e+02,1.073637191439047456e-03
1.180000044405460358e-02,4.621312561035156250e+02,1.082813483662903309e-03
1.190000027418136597e-02,4.660476226806640625e+02,1.091989921405911446e-03
1.200000010430812836e-02,4.699639892578125000e+02,1.101166330045089126e-03
1.209999993443489075e-02,4.738803558349609375e+02,1.110342622268944979e-03
1.219999976456165314e-02,4.777967224121093750e+02,1.119519060011953115e-03
1.229999959468841553e-02,4.817130889892578125e+02,1.128695468651130795e-03
1.240000035613775253e-02,4.856294708251953125e+02,1.137871877290308475e-03
1.250000018626451492e-02,4.895458221435546875e+02,1.147048198617994785e-03
1.260000001639127731e-02,4.934621887207031250e+02,1.156224607257172465e-03
1.269999984651803970e-02,4.973785629272460938e+02,1.165401045000180602e-03
1.279999967664480209e-02,5.012949142456054688e+02,1.174577337224036455e-03
1.290000043809413910e-02,5.052112808227539062e+02,1.183753745863214135e-03
1.300000026822090149e-02,5.091276626586914062e+02,1.192930183606222272e-03
1.310000009834766388e-02,5.130440292358398438e+02,1.202106592245399952e-03
1.319999992847442627e-02,5.169603805541992188e+02,1.211282884469255805e-03
1.329999975860118866e-02,5.208767623901367188e+02,1.220459322212263942e-03
1.339999958872795105e-02,5.247931289672851562e+02,1.229635730851441622e-03
1.350000035017728806e-02,5.287094802856445312e+02,1.238812023075297475e-03
1.360000018030405045e-02,5.326258621215820312e+02,1.247988460818305612e-03
1.370000001043081284e-02,5.365422210693359375e+02,1.257164869457483292e-03
1.379999984055757523e-02,5.404585723876953125e+02,1.266341307200491428e-03
1.389999967068433762e-02,5.443749542236328125e+02,1.275517599424347281e-03
1.400000043213367462e-02,5.482913208007812500e+02,1.284694008063524961e-03
1.410000026226043701e-02,5.522076873779296875e+02,1.293870445806533098e-03
1.420000009238719940e-02,5.561240539550781250e+02,1.303046738030388951e-03
1.429999992251396179e-02,5.600404205322265625e+02,1.312223146669566631e-03
1.439999975264072418e-02,5.639567871093750000e+02,1.321399584412574768e-03
1.449999958276748657e-02,5.678731536865234375e+02,1.330575993051752448e-03
1.460000034421682358e-02,5.717895202636718750e+02,1.339752285275608301e-03
1.470000017434358597e-02,5.757058868408203125e+02,1.348928723018616438e-03
1.480000000447034836e-02,5.796222686767578125e+02,1.358105131657794118e-03
1.489999983459711075e-02,5.835386199951171875e+02,1.367281423881649971e-03
1.499999966472387314e-02,5.874550018310546875e+02,1.376457861624658108e-03
1.510000042617321014e-02,5.913713684082031250e+02,1.385634270263835788e-03
1.520000025629997253e-02,5.952877044677734375e+02,1.394810708006843925e-03
1.530000008642673492e-02,5.992040863037109375e+02,1.403987000230699778e-03
1.539999991655349731e-02,6.031204528808593750e+02,1.413163408869877458e-03
1.549999974668025970e-02,6.070368041992187500e+02,1.422339846612885594e-03
1.559999957680702209e-02,6.109531860351562500e+02,1.431516138836741447e-03
1.569999940693378448e-02,6.148695526123046875e+02,1.440692547475919127e-03
1.579999923706054688e-02,6.187859191894531250e+02,1.449868985218927264e-03
1.590000092983245850e-02,6.227022857666015625e+02,1.459045393858104944e-03
1.600000075995922089e-02,6.266186523437500000e+02,1.468221686081960797e-03
1.610000059008598328e-02,6.305350189208984375e+02,1.477398123824968934e-03
1.620000042021274567e-02,6.344513854980468750e+02,1.486574532464146614e-03
1.630000025033950806e-02,6.383677520751953125e+02,1.495750824688002467e-03
1.640000008046627045e-02,6.422841186523437500e+02,1.504927262431010604e-03
1.649999991059303284e-02,6.462005004882812500e+02,1.514103671070188284e-03
1.659999974071979523e-02,6.501168518066406250e+02,1.523279992397874594e-03
1.669999957084655762e-02,6.540332183837890625e+02,1.532456401037052274e-03
1.679999940097332001e-02,6.579496002197265625e+02,1.541632809676229954e-03
1.689999923110008240e-02,6.618659515380859375e+02,1.550809247419238091e-03
1.700000092387199402e-02,6.657823181152343750e+02,1.559985656058415771e-03
1.710000075399875641e-02,6.696986846923828125e+02,1.569162064697593451e-03
1.720000058412551880e-02,6.736150817871093750e+02,1.578338269609957933e-03
1.730000041425228119e-02,6.775314331054687500e+02,1.587514678249135613e-03
1.740000024437904358e-02,6.814477691650390625e+02,1.596691086888313293e-03
1.750000007450580597e-02,6.853641357421875000e+02,1.605867524631321430e-03
1.759999990463256836e-02,6.892805023193359375e+02,1.615043933270499110e-03
1.769999973475933075e-02,6.931968688964843750e+02,1.624220371013507247e-03
1.779999956488609314e-02,6.971004943847656250e+02,1.633474515983834863e-03
1.789999939501285553e-02,7.009819946289062500e+02,1.642863731831312180e-03
1.799999922513961792e-02,7.048537292480468750e+02,1.652312668738886714e-03
1.810000091791152954e-02,7.087210693359375000e+02,1.661788352066650987e-03
1.820000074803829193e-02,7.125865478515625000e+02,1.671275414992123842e-03
1.830000057816505432e-02,7.164511718750000000e+02,1.680767512880265713e-03
1.840000040829181671e-02,7.203154296875000000e+02,1.690262026386335492e-03
1.850000023841857910e-02,7.241795654296875000e+02,1.699757267488166690e-03
1.860000006854534149e-02,7.280436248779296875e+02,1.709252828732132912e-03
1.869999989867210388e-02,7.319076538085937500e+02,1.718748651910573244e-03
1.879999972879886627e-02,7.357716827392578125e+02,1.728244416881352663e-03
1.889999955892562866e-02,7.396356964111328125e+02,1.737740007229149342e-03
1.899999938905239105e-02,7.434997558593750000e+02,1.747235830407589674e-03
1.909999921917915344e-02,7.473638153076171875e+02,1.756731362547725439e-03
1.920000091195106506e-02,7.512278747558593750e+02,1.766226894687861204e-03
1.930000074207782745e-02,7.550918731689453125e+02,1.775722659658640623e-03
1.940000057220458984e-02,7.589559326171875000e+02,1.785218191798776388e-03
1.950000040233135223e-02,7.628199920654296875e+02,1.794713432900607586e-03
1.960000023245811462e-02,7.666840820312500000e+02,1.804208965040743351e-03
1.970000006258487701e-02,7.705481414794921875e+02,1.813704438973218203e-03
1.979999989271163940e-02,7.744122009277343750e+02,1.823199680075049400e-03
1.989999972283840179e-02,7.782763061523437500e+02,1.832695095799863338e-03
1.999999955296516418e-02,7.821403656005859375e+02,1.842190336901694536e-03
2.009999938309192657e-02,7.860044708251953125e+02,1.851685519795864820e-03
2.019999921321868896e-02,7.898685302734375000e+02,1.861180702690035105e-03
2.030000090599060059e-02,7.937326660156250000e+02,1.870675885584205389e-03
2.040000073611736298e-02,7.975967254638671875e+02,1.880171068478375673e-03
2.050000056624412537e-02,8.014608306884765625e+02,1.889666251372545958e-03
2.060000039637088776e-02,8.053249359130859375e+02,1.899161434266716242e-03
2.070000022649765015e-02,8.091890258789062500e+02,1.908656326122581959e-03
2.080000005662441254e-02,8.130531311035156250e+02,1.918151509016752243e-03
2.089999988675117493e-02,8.169172363281250000e+02,1.927646400872617960e-03
2.099999971687793732e-02,8.207813415527343750e+02,1.937141525559127331e-03
2.109999954700469971e-02,8.246454315185546875e+02,1.946636417414993048e-03
2.119999937713146210e-02,8.285095672607421875e+02,1.956131309270858765e-03
2.129999920725822449e-02,8.323736724853515625e+02,1.965626142919063568e-03
2.140000090003013611e-02,8.362377777099609375e+02,1.975121034774929285e-03
2.150000073015689850e-02,8.401019134521484375e+02,1.984616159461438656e-03
2.160000056028366089e-02,8.439660491943359375e+02,1.994110993109643459e-03
2.170000039041042328e-02,8.478301239013671875e+02,2.003605593927204609e-03
2.180000022053718567e-02,8.516942596435546875e+02,2.013100427575409412e-03
2.190000005066394806e-02,8.555583953857421875e+02,2.022595261223614216e-03
2.199999988079071045e-02,8.594225311279296875e+02,2.032090153079479933e-03
2.209999971091747284e-02,8.632866668701171875e+02,2.041584928520023823e-03
2.219999954104423523e-02,8.671507720947265625e+02,2.051079529337584972e-03
2.229999937117099762e-02,8.710148925781250000e+02,2.060574362985789776e-03
2.239999920129776001e-02,8.748790283203125000e+02,2.070068963803350925e-03
2.250000089406967163e-02,8.787431640625000000e+02,2.079563739243894815e-03
2.260000072419643402e-02,8.826072998046875000e+02,2.089058340061455965e-03
2.270000055432319641e-02,8.864714355468750000e+02,2.098553115501999855e-03
2.280000038444995880e-02,8.903355712890625000e+02,2.108047716319561005e-03
2.290000021457672119e-02,8.941996917724609375e+02,2.117542491760104895e-03
2.300000004470348358e-02,8.980638275146484375e+02,2.127037034370005131e-03
2.309999987483024597e-02,9.019279632568359375e+02,2.136531576979905367e-03
2.319999970495700836e-02,9.057920989990234375e+02,2.146026352420449257e-03
2.329999953508377075e-02,9.096562347412109375e+02,2.155520895030349493e-03
2.339999936521053314e-02,9.135203552246093750e+02,2.165015437640249729e-03
2.349999919533729553e-02,9.173844909667968750e+02,2.174509980250149965e-03
2.360000088810920715e-02,9.212486267089843750e+02,2.184004522860050201e-03
2.370000071823596954e-02,9.251127624511718750e+02,2.193499065469950438e-03
2.380000054836273193e-02,9.289769134521484375e+02,2.202993549872189760e-03
2.390000037848949432e-02,9.328410491943359375e+02,2.212488092482089996e-03
