# cmod[mm], load[N]
9.176386e-06, 3.916367e+00
1.835277e-05, 7.832733e+00
2.752916e-05, 1.174910e+01
3.670554e-05, 1.566547e+01
4.588193e-05, 1.958183e+01
5.505832e-05, 2.349820e+01
6.423470e-05, 2.741457e+01
7.341109e-05, 3.133093e+01
8.258747e-05, 3.524730e+01
9.176386e-05, 3.916367e+01
1.009402e-04, 4.308003e+01
1.101166e-04, 4.699640e+01
1.192930e-04, 5.091277e+01
1.284694e-04, 5.482913e+01
1.376458e-04, 5.874550e+01
1.468222e-04, 6.266187e+01
1.559986e-04, 6.657823e+01
1.651749e-04, 7.049460e+01
1.743513e-04, 7.441097e+01
1.835277e-04, 7.832733e+01
1.927041e-04, 8.224370e+01
2.018805e-04, 8.616006e+01
2.110569e-04, 9.007643e+01
2.202333e-04, 9.399280e+01
2.294096e-04, 9.790916e+01
2.385860e-04, 1.018255e+02
2.477624e-04, 1.057419e+02
2.569388e-04, 1.096583e+02
2.661152e-04, 1.135746e+02
2.752916e-04, 1.174910e+02
2.844680e-04, 1.214074e+02
2.936443e-04, 1.253237e+02
3.028207e-04, 1.292401e+02
3.119971e-04, 1.331565e+02
3.211735e-04, 1.370728e+02
3.303499e-04, 1.409892e+02
3.395263e-04, 1.449056e+02
3.487027e-04, 1.488219e+02
3.578790e-04, 1.527383e+02
3.670554e-04, 1.566547e+02
3.762318e-04, 1.605710e+02
3.854082e-04, 1.644874e+02
3.945846e-04, 1.684038e+02
4.037610e-04, 1.723201e+02
4.129374e-04, 1.762365e+02
4.221137e-04, 1.801529e+02
4.312901e-04, 1.840692e+02
4.404665e-04, 1.879856e+02
4.496429e-04, 1.919020e+02
4.588193e-04, 1.958183e+02
4.679957e-04, 1.997347e+02
4.771721e-04, 2.036511e+02
4.863484e-04, 2.075674e+02
4.955248e-04, 2.114838e+02
5.047012e-04, 2.154002e+02
5.138776e-04, 2.193165e+02
5.230540e-04, 2.232329e+02
5.322304e-04, 2.271493e+02
5.414068e-04, 2.310656e+02
5.505832e-04, 2.349820e+02
