# NOEL, g1x, g1y, g2x, g2y, g3x, g3y
103, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
104, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
105, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
106, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
107, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
108, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
109, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
110, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
111, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
112, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
113, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
114, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
115, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
116, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
117, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
118, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
119, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
120, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
121, 0.0000000000000000e+00, -8.0000000000000004e-01, 1.6000000000000000e-01, 8.0000000000000004e-01, -1.6000000000000000e-01, 0.0000000000000000e+00
122, 0.0000000000000000e+00, 8.0000000000000004e-01, -1.6000000000000000e-01, -8.0000000000000004e-01, 1.6000000000000000e-01, 0.0000000000000000e+00
