# cmod[mm], load[N]
1.663865e-03, 6.981779e+02
1.672983e-03, 7.018517e+02
1.682100e-03, 7.055254e+02
1.691218e-03, 7.091991e+02
1.700336e-03, 7.128728e+02
1.709455e-03, 7.165464e+02
1.718574e-03, 7.202200e+02
1.727693e-03, 7.238936e+02
1.736813e-03, 7.275671e+02
1.745932e-03, 7.312406e+02
1.755052e-03, 7.349141e+02
1.764173e-03, 7.385875e+02
1.773293e-03, 7.422609e+02
1.782414e-03, 7.459343e+02
1.791535e-03, 7.496076e+02
1.800657e-03, 7.532809e+02
1.809778e-03, 7.569542e+02
1.818900e-03, 7.606275e+02
1.828022e-03, 7.643007e+02
1.837145e-03, 7.679739e+02
1.846267e-03, 7.716471e+02
1.855390e-03, 7.753202e+02
1.864513e-03, 7.789934e+02
1.873637e-03, 7.826665e+02
1.882760e-03, 7.863395e+02
1.891884e-03, 7.900126e+02
1.901008e-03, 7.936856e+02
1.910132e-03, 7.973586e+02
1.919257e-03, 8.010316e+02
1.928381e-03, 8.047045e+02
1.937506e-03, 8.083775e+02
1.946631e-03, 8.120504e+02
1.955757e-03, 8.157233e+02
1.964882e-03, 8.193961e+02
1.974008e-03, 8.230690e+02
1.983133e-03, 8.267418e+02
1.992260e-03, 8.304146e+02
2.001386e-03, 8.340874e+02
2.010512e-03, 8.377602e+02
2.019639e-03, 8.414329e+02
2.028765e-03, 8.451056e+02
2.037892e-03, 8.487783e+02
2.047019e-03, 8.524510e+02
2.056147e-03, 8.561237e+02
2.065274e-03, 8.597963e+02
2.074402e-03, 8.634690e+02
2.083530e-03, 8.671416e+02
2.092658e-03, 8.708142e+02
2.101786e-03, 8.744868e+02
2.110914e-03, 8.781593e+02
2.120042e-03, 8.818319e+02
2.129171e-03, 8.855044e+02
2.138299e-03, 8.891769e+02
2.147428e-03, 8.928494e+02
2.156557e-03, 8.965219e+02
2.165686e-03, 9.001943e+02
2.174816e-03, 9.038668e+02
2.183945e-03, 9.075392e+02
2.193075e-03, 9.112117e+02
2.202204e-03, 9.148841e+02
2.211334e-03, 9.185565e+02
2.220464e-03, 9.222288e+02
2.229594e-03, 9.259012e+02
2.238725e-03, 9.295735e+02
2.247855e-03, 9.332459e+02
2.256985e-03, 9.369182e+02
2.266116e-03, 9.405905e+02
2.275247e-03, 9.442628e+02
2.284377e-03, 9.479351e+02
2.293508e-03, 9.516074e+02
2.302639e-03, 9.552796e+02
2.311771e-03, 9.589519e+02
2.320902e-03, 9.626241e+02
2.330033e-03, 9.662963e+02
2.339165e-03, 9.699685e+02
2.348297e-03, 9.736407e+02
2.357428e-03, 9.773129e+02
2.366560e-03, 9.809851e+02
2.375692e-03, 9.846573e+02
2.384824e-03, 9.883294e+02
2.393956e-03, 9.920016e+02
2.403089e-03, 9.956737e+02
2.412221e-03, 9.993458e+02
2.421353e-03, 1.003018e+03
2.430486e-03, 1.006690e+03
2.439619e-03, 1.010362e+03
2.448762e-03, 1.014033e+03
2.457989e-03, 1.017690e+03
2.467297e-03, 1.021335e+03
2.476662e-03, 1.024972e+03
2.486091e-03, 1.028599e+03
2.495578e-03, 1.032217e+03
2.505102e-03, 1.035830e+03
2.514651e-03, 1.039439e+03
2.524217e-03, 1.043045e+03
2.533794e-03, 1.046650e+03
2.543378e-03, 1.050253e+03
2.552967e-03, 1.053856e+03
2.562560e-03, 1.057458e+03
2.572156e-03, 1.061060e+03
2.581753e-03, 1.064662e+03
2.591351e-03, 1.068263e+03
2.600951e-03, 1.071864e+03
2.610552e-03, 1.075465e+03
2.620153e-03, 1.079066e+03
2.629755e-03, 1.082667e+03
2.639358e-03, 1.086268e+03
2.648962e-03, 1.089868e+03
2.658566e-03, 1.093469e+03
2.668171e-03, 1.097069e+03
2.677777e-03, 1.100669e+03
2.687383e-03, 1.104269e+03
2.696990e-03, 1.107870e+03
2.706597e-03, 1.111470e+03
2.716205e-03, 1.115069e+03
2.725813e-03, 1.118669e+03
2.735422e-03, 1.122269e+03
2.745032e-03, 1.125869e+03
2.754642e-03, 1.129468e+03
2.764252e-03, 1.133068e+03
2.773863e-03, 1.136667e+03
2.783474e-03, 1.140266e+03
2.793086e-03, 1.143865e+03
2.802699e-03, 1.147465e+03
2.812312e-03, 1.151064e+03
2.821925e-03, 1.154663e+03
2.831539e-03, 1.158262e+03
2.841153e-03, 1.161860e+03
2.850768e-03, 1.165459e+03
2.860383e-03, 1.169058e+03
2.869999e-03, 1.172657e+03
2.879615e-03, 1.176255e+03
2.889231e-03, 1.179854e+03
2.898848e-03, 1.183452e+03
2.908465e-03, 1.187050e+03
2.918083e-03, 1.190649e+03
2.927701e-03, 1.194247e+03
2.937320e-03, 1.197845e+03
2.946960e-03, 1.201440e+03
2.956625e-03, 1.205031e+03
2.966306e-03, 1.208620e+03
2.976007e-03, 1.212205e+03
2.985746e-03, 1.215785e+03
2.995510e-03, 1.219361e+03
3.005294e-03, 1.222934e+03
3.015097e-03, 1.226504e+03
3.024910e-03, 1.230073e+03
3.034728e-03, 1.233641e+03
3.044548e-03, 1.237209e+03
3.054379e-03, 1.240775e+03
3.064220e-03, 1.244340e+03
3.074066e-03, 1.247904e+03
3.083914e-03, 1.251468e+03
3.093763e-03, 1.255032e+03
3.103613e-03, 1.258595e+03
3.113463e-03, 1.262159e+03
3.123314e-03, 1.265722e+03
3.133165e-03, 1.269286e+03
3.143015e-03, 1.272849e+03
3.152879e-03, 1.276411e+03
3.162792e-03, 1.279965e+03
3.172772e-03, 1.283509e+03
3.182797e-03, 1.287047e+03
3.192854e-03, 1.290579e+03
3.202932e-03, 1.294109e+03
3.213024e-03, 1.297637e+03
3.223125e-03, 1.301163e+03
