theta_rad,Torque_Nmm,CMOD_mm,Fapp_N,max_damage,iterations,relative_residual
2.14285714285714e-05,9136.75947778266,0,91.3675947778266,0,1,Inf
4.28571428571429e-05,18273.5189555653,0,182.735189555653,0,1,Inf
6.42857142857143e-05,27410.278433347,0,274.10278433347,0,1,Inf
8.57142857142857e-05,36547.0379111307,0,365.470379111307,0,1,Inf
0.000107142857142857,45683.7973889139,0,456.837973889139,0,1,Inf
0.000128571428571429,54820.556866694,0,548.20556866694,0,1,Inf
0.00015,63957.3163444761,0,639.573163444761,0,1,Inf
0.000171428571428571,73088.2839464297,0,730.882839464297,0.0687304725008742,14,Inf
0.000192857142857143,82179.14370091,0,821.7914370091,0.22688269700913,18,Inf
0.000214285714285714,91214.1431048229,0,912.141431048229,0.369239309192023,18,Inf
0.000235714285714286,100135.930756086,0,1001.35930756086,0.508765042292952,18,Inf
0.000257142857142857,108999.701535737,0,1089.99701535737,0.60537752620148,18,Inf
0.000278571428571429,117836.105001595,0,1178.36105001595,0.672346598528878,18,Inf
0.0003,126646.546012458,0,1266.46546012458,0.719879188996083,18,Inf
0.000321428571428571,135404.829059353,0,1354.04829059353,0.754769037271759,18,Inf
0.000342857142857143,144070.522013057,0,1440.70522013057,0.784223031696716,18,Inf
0.000364285714285714,152623.257719443,0,1526.23257719443,0.813641912238304,18,Inf
0.000385714285714286,161084.250855795,0,1610.84250855795,0.840892113526484,18,Inf
0.000407142857142857,169474.109031669,0,1694.74109031669,0.863664280606152,18,Inf
0.000428571428571429,177784.912837865,0,1777.84912837865,0.882213314293724,18,Inf
0.00045,185971.389522599,0,1859.71389522599,0.897674227494733,18,Inf
0.000471428571428571,194023.357969081,0,1940.23357969081,0.910912086717499,18,Inf
0.000492857142857143,201983.065974666,0,2019.83065974666,0.922021912411989,18,Inf
0.000514285714285714,209851.068277784,0,2098.51068277784,0.931289767953385,18,Inf
0.000535714285714286,217610.763875846,0,2176.10763875846,0.939129530534607,18,Inf
0.000557142857142857,225237.786184088,0,2252.37786184088,0.945911557803706,18,Inf
0.000578571428571429,232742.286903694,0,2327.42286903694,0.951834776101752,18,Inf
0.0006,240141.890916335,0,2401.41890916335,0.957039450424197,18,Inf
0.000621428571428571,247407.931025156,0,2474.07931025156,0.961571516291018,18,Inf
0.000642857142857143,254551.623343173,0,2545.51623343173,0.965540269205021,18,Inf
0.000664285714285714,261567.075939796,0,2615.67075939796,0.969018980824826,18,Inf
0.000685714285714286,268439.331506723,0,2684.39331506723,0.972099051708359,18,Inf
0.000707142857142857,275154.91701243,0,2751.5491701243,0.974859737060178,18,Inf
0.000728571428571429,281723.479171894,0,2817.23479171894,0.977376531837315,18,Inf
0.00075,288141.806163887,0,2881.41806163887,0.97961569404223,18,Inf
0.000771428571428571,294417.098060707,0,2944.17098060707,0.981602616967633,18,Inf
0.000792857142857143,300537.310013636,0,3005.37310013636,0.983376573198505,18,Inf
0.000814285714285714,306491.43786582,0,3064.9143786582,0.985024355452889,18,Inf
0.000835714285714286,312276.497291506,0,3122.76497291506,0.986653660042532,18,Inf
0.000857142857142857,317882.896652481,0,3178.82896652481,0.988126049351966,18,Inf
0.000878571428571429,323316.575087038,0,3233.16575087038,0.989455990151197,18,Inf
0.0009,328559.699572198,0,3285.59699572198,0.99066117918224,18,Inf
0.000921428571428572,333592.319645805,0,3335.92319645805,0.991755357860198,18,Inf
0.000942857142857143,338424.395571035,0,3384.24395571035,0.992747583321559,18,Inf
0.000964285714285714,343046.324804033,0,3430.46324804033,0.993647092129156,18,Inf
0.000985714285714286,347433.294689599,0,3474.33294689599,0.994460994319328,18,Inf
0.00100714285714286,351585.46058551,0,3515.8546058551,0.995191620645323,18,Inf
0.00102857142857143,355472.435515926,0,3554.72435515926,0.995843497530104,18,Inf
0.00105,359095.803678547,0,3590.95803678547,0.996417641820079,18,Inf
0.00107142857142857,362441.182045124,0,3624.41182045124,0.996920916860974,18,Inf
0.00109285714285714,365480.111175768,0,3654.80111175768,0.997360992618935,18,Inf
0.00111428571428571,368201.648440016,0,3682.01648440016,0.997744453630177,18,Inf
0.00113571428571429,370608.274481658,0,3706.08274481658,0.998077765413089,18,Inf
0.00115714285714286,372687.861246189,0,3726.87861246189,0.998366734583206,18,Inf
0.00117857142857143,374426.085805653,0,3744.26085805653,0.998616452067604,18,Inf
0.0012,375792.357353829,0,3757.92357353829,0.998831664573312,18,Inf
0.00122142857142857,376757.777604177,0,3767.57777604177,0.999016933070335,18,Inf
0.00124285714285714,377319.667692151,0,3773.19667692151,0.999176306359539,18,Inf
0.00126428571428571,377458.194601919,0,3774.58194601919,0.999312901539846,18,Inf
0.00128571428571429,377106.753888245,0,3771.06753888245,0.999429664654317,18,Inf
0.00130714285714286,376246.830731121,0,3762.46830731121,0.999529230840918,18,Inf
0.00132857142857143,374877.116754358,0,3748.77116754358,0.99961372305784,18,Inf
0.00135,372966.717732727,0,3729.66717732727,0.999684989142327,18,Inf
0.00137142857142857,370499.448479896,0,3704.99448479896,0.999744708552821,18,Inf
0.00139285714285714,367494.826175877,0,3674.94826175877,0.999794280558437,18,Inf
0.00141428571428571,363976.252446084,0,3639.76252446084,0.999835144665076,18,Inf
0.00143571428571429,359939.757365659,0,3599.39757365659,0.999868628557815,18,Inf
0.00145714285714286,355366.122976707,0,3553.66122976707,0.999895919702415,18,Inf
0.00147857142857143,350223.6034037,0,3502.236034037,0.999918002624078,18,Inf
0.0015,344587.201055463,0,3445.87201055463,0.999935724184137,18,Inf
0.00152142857142857,338630.892927275,0,3386.30892927275,0.999949738441773,18,Inf
0.00154285714285714,332414.645576137,0,3324.14645576137,0.999960725004016,18,Inf
0.00156428571428571,325935.897398731,0,3259.35897398731,0.999969331431872,18,Inf
0.00158571428571429,319262.112320863,0,3192.62112320863,0.999976055907939,18,Inf
0.00160714285714286,312443.330457184,0,3124.43330457184,0.999981298536375,18,Inf
0.00162857142857143,305568.911597648,0,3055.68911597648,0.999985381699769,18,Inf
0.00165,298708.980645693,0,2987.08980645693,0.999988548483711,18,Inf
0.00167142857142857,291879.141966931,0,2918.79141966931,0.999991005475828,18,Inf
0.00169285714285714,285159.666046774,0,2851.59666046774,0.999992911065982,18,Inf
0.00171428571428571,278575.866166717,0,2785.75866166717,0.999994392142426,18,Inf
0.00173571428571429,272181.302841027,0,2721.81302841027,0.999995545333279,18,Inf
0.00175714285714286,266116.486491013,0,2661.16486491013,0.999996440735872,18,Inf
0.00177857142857143,260457.298763647,0,2604.57298763647,0.999997135204834,18,Inf
0.0018,255144.526776458,0,2551.44526776458,0.999997678976615,18,Inf
0.00182142857142857,250081.228782474,0,2500.81228782474,0.99999811064398,18,Inf
0.00184285714285714,245223.870887806,0,2452.23870887806,0.99999845636086,18,Inf
0.00186428571428571,240605.405899385,0,2406.05405899385,0.999998734148049,18,Inf
0.00188571428571429,236268.428163228,0,2362.68428163228,0.999998957684423,18,Inf
0.00190714285714286,232210.26417931,0,2322.1026417931,0.999998999981847,18,Inf
0.00192857142857143,228400.034830802,0,2284.00034830802,0.999998999999992,18,Inf
0.00195,224805.95174425,0,2248.0595174425,0.999999,18,Inf
0.00197142857142857,221413.387650806,0,2214.13387650806,0.999999,18,Inf
0.00199285714285714,218190.318549569,0,2181.90318549569,0.999999,18,Inf
0.00201428571428571,215122.310499856,0,2151.22310499856,0.999999,18,Inf
0.00203571428571429,212209.244790372,0,2122.09244790372,0.999999,18,Inf
0.00205714285714286,209458.60620744,0,2094.5860620744,0.999999,18,Inf
0.00207857142857143,206855.527844921,0,2068.55527844921,0.999999,18,Inf
0.0021,204398.500448537,0,2043.98500448537,0.999999,18,Inf
0.00212142857142857,202083.275643024,0,2020.83275643024,0.999999,18,Inf
0.00214285714285714,199879.678097688,0,1998.79678097688,0.999999,18,Inf
0.00216428571428571,197763.623642904,0,1977.63623642904,0.999999,18,Inf
0.00218571428571429,195735.411963558,0,1957.35411963558,0.999999,18,Inf
0.00220714285714286,193777.087568945,0,1937.77087568945,0.999999,18,Inf
0.00222857142857143,191887.943619815,0,1918.87943619815,0.999999,18,Inf
0.00225,190079.656279836,0,1900.79656279836,0.999999,18,Inf
0.00227142857142857,188362.386185527,0,1883.62386185527,0.999999,18,Inf
0.00229285714285714,186732.710239169,0,1867.32710239169,0.999999,18,Inf
0.00231428571428571,185176.304786802,0,1851.76304786802,0.999999,18,Inf
0.00233571428571429,183686.323540087,0,1836.86323540087,0.999999,18,Inf
0.00235714285714286,182243.470694103,0,1822.43470694103,0.999999,18,Inf
0.00237857142857143,180860.942349005,0,1808.60942349005,0.999999,18,Inf
0.0024,179549.319198378,0,1795.49319198378,0.999999,18,Inf
0.00242142857142857,178311.778371994,0,1783.11778371994,0.999999,18,Inf
0.00244285714285714,177144.674221572,0,1771.44674221572,0.999999,18,Inf
0.00246428571428571,176026.133427209,0,1760.26133427209,0.999999,18,Inf
0.00248571428571429,174962.1369132,0,1749.621369132,0.999999,18,Inf
0.00250714285714286,173959.937577878,0,1739.59937577878,0.999999,18,Inf
0.00252857142857143,173007.4615995,0,1730.074615995,0.999999,18,Inf
0.00255,172100.640972244,0,1721.00640972244,0.999999,18,Inf
0.00257142857142857,171220.969414877,0,1712.20969414877,0.999999,18,Inf
0.00259285714285714,170337.373779437,0,1703.37373779437,0.999999,18,Inf
0.00261428571428571,169452.634435512,0,1694.52634435512,0.999999,18,Inf
0.00263571428571429,168642.494815557,0,1686.42494815557,0.999999,18,Inf
0.00265714285714286,167925.381476753,0,1679.25381476753,0.999999,18,Inf
0.00267857142857143,167276.860441621,0,1672.76860441621,0.999999,18,Inf
0.0027,166679.553864737,0,1666.79553864737,0.999999,18,Inf
0.00272142857142857,166117.541687635,0,1661.17541687635,0.999999,18,Inf
0.00274285714285714,165585.401044662,0,1655.85401044662,0.999999,18,Inf
0.00276428571428571,165086.509089401,0,1650.86509089401,0.999999,18,Inf
0.00278571428571429,164612.083068647,0,1646.12083068647,0.999999,18,Inf
0.00280714285714286,164160.698412472,0,1641.60698412472,0.999999,18,Inf
0.00282857142857143,163728.441864757,0,1637.28441864757,0.999999,18,Inf
0.00285,163312.176948229,0,1633.12176948229,0.999999,18,Inf
0.00287142857142857,162916.926883289,0,1629.16926883289,0.999999,18,Inf
0.00289285714285714,162541.090243662,0,1625.41090243662,0.999999,18,Inf
0.00291428571428571,162174.089617081,0,1621.74089617081,0.999999,18,Inf
0.00293571428571429,161813.160277133,0,1618.13160277133,0.999999,18,Inf
0.00295714285714286,161461.785171335,0,1614.61785171335,0.999999,18,Inf
0.00297857142857143,161111.61571761,0,1611.1161571761,0.999999,18,Inf
0.003,160768.551588295,0,1607.68551588295,0.999999,18,Inf
