# cmod[mm], load[N]
1.874656e-02, 3.686504e+03
1.889507e-02, 3.692994e+03
1.904443e-02, 3.699338e+03
1.919485e-02, 3.705518e+03
1.934576e-02, 3.711612e+03
1.949750e-02, 3.717576e+03
1.965008e-02, 3.723397e+03
1.980378e-02, 3.729016e+03
1.995823e-02, 3.734510e+03
2.011345e-02, 3.739879e+03
2.026905e-02, 3.745179e+03
2.042552e-02, 3.750339e+03
2.058288e-02, 3.755347e+03
2.074106e-02, 3.760224e+03
2.090047e-02, 3.764905e+03
2.106066e-02, 3.769438e+03
2.122156e-02, 3.773856e+03
2.138364e-02, 3.778085e+03
2.154661e-02, 3.782166e+03
2.171072e-02, 3.786060e+03
2.187491e-02, 3.789934e+03
2.203988e-02, 3.793697e+03
2.220609e-02, 3.797249e+03
2.237379e-02, 3.800541e+03
2.254254e-02, 3.803662e+03
2.271161e-02, 3.806737e+03
2.288108e-02, 3.809741e+03
2.305125e-02, 3.812626e+03
2.322274e-02, 3.815307e+03
2.339569e-02, 3.817745e+03
2.357012e-02, 3.819948e+03
2.374498e-02, 3.822065e+03
2.392018e-02, 3.824129e+03
2.409633e-02, 3.826037e+03
2.427315e-02, 3.827838e+03
2.445114e-02, 3.829454e+03
2.463016e-02, 3.830888e+03
2.481026e-02, 3.832143e+03
2.499144e-02, 3.833224e+03
2.517329e-02, 3.834196e+03
2.535527e-02, 3.835143e+03
2.553846e-02, 3.835913e+03
2.572297e-02, 3.836425e+03
2.590828e-02, 3.836822e+03
2.609489e-02, 3.836986e+03
2.628190e-02, 3.837075e+03
2.646966e-02, 3.837039e+03
2.665794e-02, 3.836918e+03
2.684742e-02, 3.836587e+03
2.703771e-02, 3.836116e+03
2.722860e-02, 3.835540e+03
2.742040e-02, 3.834806e+03
2.761307e-02, 3.833920e+03
2.780626e-02, 3.832940e+03
2.800025e-02, 3.831822e+03
2.819508e-02, 3.830558e+03
2.839019e-02, 3.829247e+03
2.858616e-02, 3.827787e+03
2.878268e-02, 3.826233e+03
2.898003e-02, 3.824542e+03
2.917850e-02, 3.822661e+03
2.937775e-02, 3.820650e+03
2.957806e-02, 3.818451e+03
2.977863e-02, 3.816201e+03
2.997958e-02, 3.813883e+03
3.018104e-02, 3.811478e+03
3.038356e-02, 3.808893e+03
3.058636e-02, 3.806263e+03
3.079004e-02, 3.803483e+03
3.099441e-02, 3.800577e+03
3.119919e-02, 3.797599e+03
3.140440e-02, 3.794551e+03
3.160998e-02, 3.791441e+03
3.181633e-02, 3.788204e+03
3.202307e-02, 3.784903e+03
3.223051e-02, 3.781492e+03
3.243905e-02, 3.777901e+03
3.264806e-02, 3.774233e+03
3.285761e-02, 3.770477e+03
3.306741e-02, 3.766679e+03
3.327757e-02, 3.762822e+03
3.348773e-02, 3.758968e+03
3.369797e-02, 3.755103e+03
3.390923e-02, 3.751073e+03
3.412072e-02, 3.747004e+03
3.433276e-02, 3.742853e+03
3.454584e-02, 3.738523e+03
3.475903e-02, 3.734177e+03
3.497198e-02, 3.729875e+03
3.518476e-02, 3.725603e+03
3.539782e-02, 3.721292e+03
3.561121e-02, 3.716930e+03
3.582523e-02, 3.712476e+03
3.604011e-02, 3.707879e+03
3.625525e-02, 3.703247e+03
3.647130e-02, 3.698475e+03
3.668787e-02, 3.693615e+03
3.690428e-02, 3.688787e+03
3.712046e-02, 3.684000e+03
3.733651e-02, 3.679240e+03
3.755262e-02, 3.674473e+03
3.776952e-02, 3.669587e+03
3.798715e-02, 3.664581e+03
3.820484e-02, 3.659573e+03
3.842313e-02, 3.654472e+03
3.864189e-02, 3.649292e+03
3.886068e-02, 3.644109e+03
3.907960e-02, 3.638902e+03
3.929851e-02, 3.633700e+03
3.951744e-02, 3.628500e+03
3.973667e-02, 3.623257e+03
3.995695e-02, 3.617847e+03
4.017806e-02, 3.612299e+03
4.039935e-02, 3.606723e+03
4.062169e-02, 3.600987e+03
