# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
110, 1.967184e+00, 6.394209e-01, 6.373774e+00
111, 1.967832e+00, 6.395330e-01, 6.373774e+00
112, 1.968487e+00, 6.396476e-01, 6.373774e+00
113, 1.969144e+00, 6.397647e-01, 6.373774e+00
114, 1.969802e+00, 6.398841e-01, 6.373774e+00
115, 1.970452e+00, 6.400056e-01, 6.373774e+00
116, 1.971108e+00, 6.401291e-01, 6.373774e+00
117, 1.971770e+00, 6.402547e-01, 6.373774e+00
118, 1.972433e+00, 6.403825e-01, 6.373774e+00
119, 1.973095e+00, 6.405123e-01, 6.373774e+00
120, 1.973748e+00, 6.406441e-01, 6.373774e+00
121, 1.974398e+00, 6.407776e-01, 6.373774e+00
122, 1.975068e+00, 6.409130e-01, 6.373774e+00
123, 1.975740e+00, 6.410501e-01, 6.373774e+00
124, 1.976420e+00, 6.411890e-01, 6.373774e+00
125, 1.977089e+00, 6.413297e-01, 6.373774e+00
126, 1.977753e+00, 6.414721e-01, 6.373774e+00
127, 1.978420e+00, 6.416163e-01, 6.373774e+00
128, 1.979094e+00, 6.417622e-01, 6.373774e+00
129, 1.979773e+00, 6.419098e-01, 6.373774e+00
130, 1.980459e+00, 6.420590e-01, 6.373774e+00
131, 1.981137e+00, 6.422098e-01, 6.373774e+00
132, 1.981819e+00, 6.423622e-01, 6.373774e+00
133, 1.982500e+00, 6.425162e-01, 6.373774e+00
134, 1.983174e+00, 6.426719e-01, 6.373774e+00
135, 1.983841e+00, 6.428290e-01, 6.373774e+00
136, 1.984507e+00, 6.429875e-01, 6.373774e+00
137, 1.985182e+00, 6.431475e-01, 6.373774e+00
138, 1.985871e+00, 6.433090e-01, 6.373774e+00
139, 1.986570e+00, 6.434721e-01, 6.373774e+00
140, 1.987290e+00, 6.436366e-01, 6.373774e+00
141, 1.987998e+00, 6.438026e-01, 6.373774e+00
142, 1.988694e+00, 6.439701e-01, 6.373774e+00
143, 1.989406e+00, 6.441389e-01, 6.373774e+00
144, 1.990116e+00, 6.443088e-01, 6.373774e+00
145, 1.990825e+00, 6.444801e-01, 6.373774e+00
146, 1.991535e+00, 6.446528e-01, 6.373774e+00
147, 1.992264e+00, 6.448270e-01, 6.373774e+00
148, 1.993003e+00, 6.450024e-01, 6.373774e+00
149, 1.993753e+00, 6.451791e-01, 6.373774e+00
150, 1.994503e+00, 6.453572e-01, 6.373774e+00
151, 1.995242e+00, 6.455364e-01, 6.373774e+00
152, 1.995977e+00, 6.457168e-01, 6.373774e+00
153, 1.996695e+00, 6.458984e-01, 6.373774e+00
154, 1.997415e+00, 6.460812e-01, 6.373774e+00
155, 1.998137e+00, 6.462653e-01, 6.373774e+00
156, 1.998857e+00, 6.464504e-01, 6.373774e+00
157, 1.999582e+00, 6.466367e-01, 6.373774e+00
158, 2.000309e+00, 6.468243e-01, 6.373774e+00
159, 2.001043e+00, 6.470132e-01, 6.373774e+00
160, 2.001779e+00, 6.472034e-01, 6.373774e+00
161, 2.002502e+00, 6.473950e-01, 6.373774e+00
162, 2.003223e+00, 6.475878e-01, 6.373774e+00
163, 2.003939e+00, 6.477819e-01, 6.373774e+00
164, 2.004674e+00, 6.479773e-01, 6.373774e+00
165, 2.005412e+00, 6.481737e-01, 6.373774e+00
166, 2.006160e+00, 6.483712e-01, 6.373774e+00
167, 2.006919e+00, 6.485490e-01, 6.373774e+00
168, 2.007652e+00, 6.485890e-01, 6.373774e+00
169, 2.008376e+00, 6.486315e-01, 6.373774e+00
170, 2.009104e+00, 6.486766e-01, 6.373774e+00
171, 2.009836e+00, 6.487241e-01, 6.373774e+00
172, 2.010566e+00, 6.487741e-01, 6.373774e+00
173, 2.011300e+00, 6.488264e-01, 6.373774e+00
174, 2.012034e+00, 6.488812e-01, 6.373774e+00
175, 2.012764e+00, 6.489383e-01, 6.373774e+00
176, 2.013474e+00, 6.489978e-01, 6.373774e+00
177, 2.014186e+00, 6.490594e-01, 6.373774e+00
178, 2.014906e+00, 6.491232e-01, 6.373774e+00
179, 2.015646e+00, 6.491892e-01, 6.373774e+00
